lead_time_days,num_nights,num_guests,room_type,avg_daily_rate,cancelled
279,10,4,standard,165.3,0
264,1,5,standard,421.26,1
256,11,5,standard,477.61,1
115,7,5,suite,273.99,1
176,2,1,deluxe,287.05,0
314,9,4,standard,298.53,0
222,6,2,deluxe,282.93,1
174,1,1,deluxe,170.66,0
198,10,5,family,261.3,1
238,6,1,standard,220.02,1
127,5,4,standard,138.93,0
157,11,1,standard,77.71,0
217,13,1,standard,281.49,0
164,13,3,suite,130.02,0
37,7,2,deluxe,289.75,0
107,9,3,family,92.32,0
106,10,4,family,480.32,0
175,9,5,standard,77.36,1
222,11,4,deluxe,443.72,1
332,10,4,suite,144.93,1
333,2,3,deluxe,219.43,1
25,3,4,suite,220.62,0
188,10,3,standard,369.43,0
217,12,5,suite,388.49,1
59,10,4,family,245.66,0
87,4,3,standard,332.33,0
337,9,1,standard,123.72,1
121,4,5,standard,317.69,0
135,3,3,deluxe,377.73,0
287,2,3,standard,272.42,1
90,9,4,deluxe,357.66,0
302,12,1,standard,148.0,0
194,10,2,suite,314.81,0
26,1,4,deluxe,451.91,1
361,10,2,deluxe,259.62,1
29,4,2,standard,290.45,0
265,6,5,deluxe,180.17,0
295,1,4,family,349.76,1
143,1,2,deluxe,156.52,1
256,9,4,deluxe,75.43,1
110,3,4,deluxe,467.25,0
242,8,4,family,157.53,0
220,13,4,deluxe,151.35,0
188,13,2,standard,401.26,1
35,4,4,suite,126.94,0
169,11,5,family,420.56,0
180,8,1,deluxe,149.14,0
240,4,2,deluxe,442.68,1
0,12,2,family,495.22,0
245,11,4,family,297.45,1
308,7,2,suite,181.2,1
29,9,4,family,142.58,0
205,11,5,standard,77.51,1
216,6,5,deluxe,471.91,1
121,6,3,standard,169.72,0
130,11,3,standard,322.96,1
351,8,4,suite,151.45,1
105,12,5,family,349.67,0
219,10,5,deluxe,307.48,0
243,10,3,family,258.52,1
261,2,3,deluxe,202.75,1
137,6,4,deluxe,353.98,0
230,4,4,standard,377.57,1
265,7,1,deluxe,424.97,1
206,8,1,family,395.39,1
291,6,5,standard,69.97,1
105,12,2,family,275.4,0
172,5,4,family,129.16,0
166,3,2,suite,195.79,0
27,3,2,standard,237.9,0
354,1,2,suite,114.67,1
346,4,2,deluxe,185.56,1
121,9,1,standard,152.06,1
105,7,3,deluxe,256.14,0
74,9,4,family,291.24,0
152,10,4,standard,437.66,1
15,5,1,standard,368.89,0
2,11,1,suite,379.26,0
260,6,4,standard,65.83,1
342,2,4,standard,347.24,1
357,5,1,deluxe,91.1,1
17,13,1,deluxe,307.67,0
109,1,1,family,344.23,0
138,2,5,deluxe,138.68,1
102,12,4,family,258.85,0
305,2,5,standard,226.67,1
146,10,4,standard,373.35,0
134,10,5,standard,307.72,0
212,10,1,standard,320.66,0
306,4,1,deluxe,455.69,0
141,13,3,deluxe,354.06,1
171,3,5,suite,177.35,0
323,4,5,suite,170.73,1
217,4,4,standard,398.78,1
266,1,4,deluxe,272.99,1
351,4,3,standard,193.5,1
157,10,4,standard,236.74,1
37,3,4,standard,381.47,0
347,12,4,suite,357.58,1
323,4,4,suite,225.4,1
236,4,5,standard,275.51,1
139,12,3,deluxe,413.16,0
321,12,2,suite,105.63,0
66,8,5,deluxe,54.8,0
166,2,5,standard,158.98,1
347,5,3,suite,121.08,0
153,12,1,standard,114.94,0
46,13,3,suite,372.51,0
235,11,5,standard,415.54,1
231,4,4,family,373.2,1
149,4,4,standard,416.18,1
354,13,5,deluxe,115.38,1
241,11,3,standard,82.4,0
159,12,3,family,390.63,0
99,2,5,deluxe,383.13,0
243,5,5,family,394.83,1
42,4,3,deluxe,305.78,0
70,11,4,standard,468.81,0
267,8,1,standard,131.3,1
240,11,2,standard,330.61,1
36,9,2,standard,237.14,0
221,8,1,deluxe,356.03,1
305,9,4,suite,173.23,1
183,6,1,standard,268.98,0
224,2,2,standard,135.25,1
240,2,4,deluxe,478.48,1
225,6,3,family,257.43,1
232,1,2,standard,200.34,0
70,7,3,family,354.43,0
181,3,1,deluxe,259.46,0
130,13,5,suite,318.39,0
348,10,3,deluxe,253.98,1
248,6,4,standard,316.25,1
14,13,1,deluxe,126.9,0
310,1,1,deluxe,207.2,1
15,10,3,deluxe,165.01,0
287,10,5,deluxe,59.58,1
104,4,3,standard,426.9,1
55,6,5,deluxe,269.36,0
140,2,2,deluxe,479.54,1
247,8,5,deluxe,173.37,0
126,12,4,standard,404.1,0
335,7,2,suite,223.35,1
342,2,5,family,167.43,1
169,5,1,deluxe,408.26,1
19,4,5,standard,392.85,0
188,4,2,suite,478.1,1
31,2,3,standard,412.02,1
211,5,3,standard,278.51,1
35,2,2,standard,466.54,1
287,1,1,standard,366.2,1
297,13,1,standard,364.74,0
146,11,3,standard,304.18,0
163,10,1,standard,259.52,1
106,1,3,family,133.3,1
99,9,5,deluxe,442.38,1
150,13,1,family,477.09,1
29,5,2,standard,324.08,0
196,2,2,deluxe,392.9,1
30,1,2,deluxe,387.62,0
158,12,5,standard,66.57,0
292,3,3,family,240.79,0
138,8,4,standard,61.24,0
195,6,3,standard,323.28,1
364,13,1,standard,333.4,1
254,2,1,standard,382.66,1
50,3,3,standard,442.57,1
131,12,5,deluxe,462.76,0
9,4,4,suite,176.78,0
72,2,2,suite,113.67,0
113,1,2,deluxe,419.47,0
264,11,3,suite,495.39,1
327,1,2,standard,217.44,1
358,2,3,standard,373.79,1
323,3,2,standard,314.73,1
275,2,2,family,382.66,1
310,11,3,deluxe,275.14,1
351,6,3,standard,248.53,1
353,13,5,deluxe,89.31,1
27,6,3,standard,471.34,0
181,4,2,family,271.02,1
28,2,3,family,258.52,0
267,5,2,family,328.39,0
14,1,1,deluxe,106.1,0
13,9,1,deluxe,222.04,0
327,7,2,family,234.03,1
217,9,3,standard,433.14,1
102,5,3,family,66.41,0
249,3,2,family,408.01,0
78,5,1,suite,242.49,0
261,8,4,deluxe,79.86,1
231,7,3,deluxe,380.49,1
171,5,4,family,142.86,0
361,4,3,standard,213.09,1
17,11,2,family,98.06,0
267,6,1,deluxe,414.4,1
42,3,2,standard,215.55,0
15,12,5,family,380.95,0
107,7,2,suite,221.89,0
32,11,3,standard,317.66,0
44,3,3,standard,328.25,0
301,11,3,family,395.46,1
116,10,4,suite,348.23,0
142,5,3,standard,164.93,1
23,1,3,standard,314.66,0
363,1,5,deluxe,462.15,1
219,11,4,suite,324.59,1
308,2,3,standard,242.35,1
104,9,3,deluxe,212.34,0
213,7,1,family,330.58,0
101,7,1,deluxe,245.25,0
267,4,4,deluxe,273.34,1
31,6,4,suite,80.27,0
117,7,1,family,53.45,0
39,1,2,deluxe,335.19,1
255,13,2,deluxe,278.98,1
37,6,3,standard,90.06,0
126,3,3,standard,259.4,0
204,13,4,deluxe,133.54,0
169,2,3,deluxe,203.12,1
248,9,4,standard,376.91,1
116,8,3,standard,161.3,0
345,4,4,deluxe,333.17,1
95,12,1,family,92.47,0
284,13,5,standard,422.52,1
213,9,5,suite,100.59,0
326,2,5,deluxe,408.69,1
146,7,5,deluxe,384.94,1
209,2,2,standard,294.3,1
176,3,1,deluxe,57.37,0
89,13,3,standard,142.35,0
76,11,1,suite,124.7,0
288,7,2,standard,225.56,1
242,1,3,standard,201.37,1
238,1,5,deluxe,344.7,1
85,4,3,standard,423.65,1
177,11,5,deluxe,308.73,0
306,10,3,standard,284.88,0
205,2,1,standard,245.22,0
304,6,1,standard,242.8,1
58,12,5,deluxe,88.59,0
172,3,1,standard,410.74,1
182,2,4,deluxe,135.14,0
236,13,5,standard,484.53,1
161,10,5,standard,481.01,1
190,11,1,suite,206.85,0
181,12,3,deluxe,50.12,0
104,10,2,suite,331.4,0
244,7,2,standard,467.25,0
51,3,2,standard,71.38,0
113,6,1,standard,225.72,0
335,12,1,family,154.18,0
246,5,4,standard,376.65,1
324,11,5,deluxe,454.34,1
246,4,3,family,232.48,1
27,8,4,standard,422.35,0
20,8,5,deluxe,116.75,0
323,13,5,standard,132.37,1
312,11,5,deluxe,491.02,1
78,5,3,standard,57.99,0
72,7,2,family,312.6,0
275,11,2,deluxe,66.06,0
2,4,4,family,492.03,0
10,6,3,standard,349.12,0
340,6,1,family,189.25,1
310,9,1,deluxe,189.7,0
121,1,3,standard,169.13,1
166,1,5,suite,219.94,0
277,9,2,standard,273.76,1
220,8,2,standard,389.47,1
238,4,4,deluxe,341.05,1
190,7,2,family,245.23,1
46,13,4,standard,433.91,0
280,3,4,deluxe,146.23,1
102,13,4,standard,150.95,0
304,11,2,standard,232.67,1
344,7,2,deluxe,329.13,1
241,11,4,standard,421.09,1
5,5,2,standard,407.6,0
333,9,1,standard,478.45,1
238,10,3,deluxe,56.11,0
199,9,2,standard,95.75,0
33,13,1,standard,158.1,0
248,13,4,standard,444.35,1
165,6,2,standard,196.5,1
92,10,1,standard,225.18,0
112,1,3,family,398.42,1
3,8,2,suite,51.98,0
326,7,3,deluxe,412.45,1
76,9,5,standard,191.94,0
276,9,5,standard,370.94,1
194,8,1,deluxe,210.49,1
154,10,5,deluxe,296.32,1
51,2,4,standard,127.1,0
271,9,5,standard,392.31,1
226,1,2,family,286.3,1
309,3,3,suite,425.31,0
128,5,1,standard,58.98,0
292,9,3,standard,90.39,0
35,1,1,standard,184.94,1
17,1,2,deluxe,66.85,0
40,11,3,deluxe,278.97,0
339,13,5,standard,254.33,1
27,8,4,family,270.64,0
26,7,1,standard,120.89,0
135,9,2,suite,407.64,0
70,9,1,deluxe,264.57,0
274,12,1,deluxe,289.53,1
251,5,3,suite,337.79,1
338,9,2,deluxe,430.18,1
25,8,2,deluxe,193.16,0
314,7,1,deluxe,220.67,0
182,13,3,standard,55.77,1
55,3,1,standard,93.53,0
43,5,2,standard,113.49,0
279,13,4,deluxe,396.21,0
189,9,3,suite,365.98,0
268,11,5,standard,478.61,1
144,2,5,standard,214.82,1
24,12,3,deluxe,468.42,0
338,2,2,standard,250.8,1
157,8,2,standard,104.4,1
65,5,3,deluxe,139.54,0
317,3,3,suite,211.91,1
72,13,5,standard,220.23,0
100,8,1,standard,199.59,0
6,7,1,family,403.56,0
89,7,1,deluxe,383.07,0
178,12,3,family,439.1,1
21,7,2,deluxe,439.74,0
286,5,3,deluxe,373.15,1
250,2,3,standard,353.55,1
213,3,5,standard,205.28,1
231,6,2,family,100.36,1
143,1,5,deluxe,336.54,0
278,5,4,family,94.57,1
340,1,2,deluxe,173.26,1
319,4,1,deluxe,189.56,1
138,10,3,standard,224.93,0
220,4,3,family,88.77,1
83,1,3,deluxe,338.06,1
190,12,3,standard,260.34,0
353,2,3,standard,383.36,1
18,9,1,deluxe,228.95,0
69,8,2,family,387.84,0
317,10,4,deluxe,410.84,1
260,2,3,deluxe,468.69,1
348,12,1,deluxe,205.78,1
68,11,2,family,117.89,0
230,12,2,suite,452.03,0
56,3,1,standard,401.13,0
356,5,2,deluxe,142.83,1
297,12,2,standard,440.85,1
168,8,2,standard,461.08,0
96,5,3,standard,231.6,0
34,3,4,family,499.16,0
19,11,2,deluxe,167.12,0
61,10,5,standard,251.92,0
238,3,1,family,430.97,1
169,1,2,deluxe,380.67,0
251,8,5,suite,396.54,1
113,11,1,standard,435.76,1
99,8,5,deluxe,236.36,0
345,9,3,deluxe,70.87,1
51,4,2,standard,478.19,0
298,2,5,family,301.38,1
129,5,5,suite,89.1,0
204,5,5,deluxe,415.82,1
255,13,2,standard,267.49,0
71,2,3,deluxe,139.1,0
225,2,3,standard,145.96,1
76,9,3,standard,409.49,0
159,12,4,family,271.26,0
238,8,1,family,448.85,1
304,1,3,family,208.89,1
245,4,5,deluxe,210.19,1
256,5,3,deluxe,484.87,1
102,12,2,suite,420.32,1
40,3,4,standard,80.19,0
260,7,1,standard,69.42,1
261,12,3,standard,317.82,1
71,13,3,deluxe,406.69,0
73,9,2,family,391.59,0
104,4,1,deluxe,347.26,0
175,9,2,deluxe,402.44,0
105,9,1,standard,82.89,0
111,12,5,suite,52.54,0
178,4,3,deluxe,265.33,0
57,6,2,deluxe,249.17,0
44,8,4,suite,272.78,0
5,3,5,suite,120.59,0
244,3,1,deluxe,440.02,1
10,1,1,deluxe,204.12,0
301,8,2,standard,419.7,1
24,8,5,standard,109.89,0
200,8,3,standard,369.34,0
154,10,5,family,476.59,0
306,8,5,deluxe,490.58,1
104,3,3,standard,205.62,1
258,12,1,suite,464.23,1
247,4,5,family,319.35,1
245,11,4,standard,320.9,1
1,12,3,standard,149.22,0
163,13,4,deluxe,338.06,0
250,10,4,standard,120.02,1
240,6,5,deluxe,117.56,1
252,6,2,deluxe,273.62,1
96,9,4,standard,269.06,1
85,4,2,standard,267.01,0
266,1,3,deluxe,346.57,1
107,6,3,suite,236.5,0
187,5,4,standard,434.83,1
262,6,3,standard,62.0,0
353,10,1,standard,68.08,1
20,13,2,suite,352.3,0
1,8,3,deluxe,423.35,0
149,3,4,deluxe,236.25,1
151,11,3,suite,424.79,1
311,7,4,suite,205.95,1
235,12,4,family,280.79,0
268,6,2,standard,424.39,1
152,9,2,suite,359.46,0
238,6,5,family,250.93,1
125,8,1,suite,140.4,1
245,9,1,suite,272.07,0
352,8,3,standard,463.49,1
353,1,4,deluxe,179.5,1
208,5,2,suite,205.74,1
152,9,2,deluxe,431.33,0
98,13,2,suite,430.7,0
102,2,5,family,301.54,0
338,3,5,deluxe,307.88,1
346,4,2,suite,188.25,1
108,6,5,standard,162.67,0
11,3,1,family,168.14,0
223,3,2,deluxe,267.39,1
334,2,5,suite,83.87,1
364,1,4,suite,82.25,1
64,1,5,family,249.11,0
363,12,2,deluxe,440.85,1
126,4,5,standard,199.23,1
329,8,1,suite,77.12,1
347,7,2,standard,295.02,1
109,13,3,deluxe,129.82,0
78,6,4,suite,177.37,0
3,3,3,standard,97.36,0
288,8,5,deluxe,438.09,1
87,8,1,suite,272.65,0
162,13,5,family,75.74,0
16,13,2,suite,293.87,0
226,8,2,deluxe,447.79,1
247,8,1,family,420.26,0
145,6,5,standard,323.88,0
354,2,5,deluxe,427.02,1
164,3,5,family,169.54,0
200,13,1,deluxe,137.92,0
295,4,5,standard,462.17,1
290,7,1,deluxe,455.75,1
126,2,2,standard,313.53,1
211,3,3,family,189.2,1
100,5,4,standard,100.55,0
321,1,4,deluxe,470.22,1
216,8,4,suite,466.98,1
63,7,1,family,239.56,0
4,9,2,suite,185.96,0
60,10,3,standard,70.68,0
27,12,2,standard,239.51,0
127,10,5,deluxe,416.21,1
184,13,5,deluxe,460.65,0
314,10,5,deluxe,146.36,1
61,13,4,deluxe,402.52,0
59,8,4,suite,441.78,0
77,6,4,deluxe,370.24,0
177,12,5,suite,358.74,1
275,6,5,standard,382.14,1
263,2,4,deluxe,211.36,0
229,11,3,deluxe,54.25,1
45,13,4,deluxe,213.4,0
33,10,3,deluxe,129.69,0
104,5,5,deluxe,93.67,1
254,6,4,standard,142.13,0
62,9,3,standard,202.27,0
166,9,4,suite,243.04,0
224,2,1,standard,103.32,1
31,3,3,suite,435.11,0
219,11,5,standard,293.66,0
336,9,1,suite,474.86,1
248,11,1,standard,232.31,1
168,1,3,standard,457.29,0
314,5,1,suite,470.81,1
339,2,3,standard,415.1,1
247,6,3,deluxe,108.47,0
292,2,2,deluxe,114.1,1
326,4,2,deluxe,87.78,1
278,3,1,standard,61.36,1
64,1,4,deluxe,267.33,0
232,10,1,family,333.12,1
54,7,5,suite,50.57,0
194,13,2,family,92.71,0
242,13,1,suite,298.16,0
42,13,3,deluxe,174.53,0
227,1,4,deluxe,175.72,1
356,10,4,deluxe,179.6,1
290,1,4,standard,88.17,1
234,7,2,standard,496.61,1
281,13,2,suite,311.17,0
158,2,1,standard,57.65,1
220,6,2,standard,68.19,0
300,8,1,deluxe,422.49,1
218,11,3,family,462.74,1
287,5,2,suite,423.89,1
28,1,5,standard,370.97,0
78,3,1,family,183.79,0
192,13,4,deluxe,52.69,1
180,9,3,standard,129.96,1
100,2,3,family,390.18,0
309,7,5,deluxe,373.6,1
119,12,5,family,402.45,0
44,7,4,suite,150.24,1
353,5,5,deluxe,292.79,1
163,4,2,family,163.22,1
346,6,3,standard,230.43,1
308,13,4,suite,302.48,1
4,4,1,family,158.79,0
72,3,3,standard,492.76,1
281,13,3,family,215.6,0
80,4,4,family,392.84,0
243,2,2,family,428.29,1
112,6,4,family,276.93,0
143,10,4,suite,381.3,0
327,7,3,deluxe,315.18,1
186,8,4,suite,433.96,1
244,4,1,standard,211.62,1
26,2,2,deluxe,214.4,0
184,2,2,standard,305.87,0
248,5,1,standard,238.3,0
270,8,4,suite,462.97,0
233,9,2,standard,103.32,0
296,3,4,standard,406.22,1
169,3,1,standard,375.31,0
261,7,5,deluxe,252.59,1
207,1,5,suite,389.33,1
61,3,4,deluxe,139.48,0
34,13,4,standard,366.31,0
146,1,5,deluxe,478.63,1
89,9,3,family,82.39,0
241,4,2,deluxe,97.5,1
316,9,1,standard,359.94,1
317,8,2,deluxe,314.0,1
275,5,4,standard,386.65,1
202,11,3,deluxe,175.05,1
202,3,4,deluxe,419.42,0
65,8,1,suite,89.33,0
334,8,1,deluxe,459.56,0
257,1,1,standard,143.83,1
183,13,1,standard,186.51,0
356,13,2,deluxe,419.91,1
15,8,2,family,306.71,0
339,13,2,standard,262.79,1
21,7,4,standard,173.82,0
307,3,3,suite,437.29,1
320,13,2,standard,55.16,1
353,6,5,family,177.24,1
126,13,5,standard,430.13,0
188,4,3,deluxe,445.83,1
299,10,2,standard,243.76,1
118,7,4,deluxe,259.72,0
318,4,1,deluxe,86.3,1
115,12,3,suite,312.35,0
67,5,3,family,321.7,0
336,11,4,family,299.11,1
191,13,1,standard,176.15,0
89,12,1,standard,277.69,0
243,5,1,deluxe,120.42,1
81,10,1,suite,303.39,0
87,3,1,suite,485.98,1
250,4,1,deluxe,436.59,1
178,2,2,suite,208.39,1
256,9,1,standard,357.18,0
165,13,3,deluxe,359.04,0
17,5,2,deluxe,106.21,0
271,11,1,standard,418.5,1
74,3,3,family,124.15,0
318,11,2,standard,481.26,1
291,1,4,standard,295.27,1
87,10,5,standard,208.56,0
167,4,1,suite,480.85,0
60,12,5,deluxe,359.25,1
93,3,3,deluxe,233.89,0
153,13,5,standard,78.83,0
133,9,5,standard,431.66,1
343,4,1,standard,359.08,1
139,4,5,standard,466.81,1
293,7,3,suite,327.95,1
363,5,3,family,130.77,1
294,5,5,suite,188.63,1
47,10,2,standard,326.09,0
91,9,2,standard,128.11,0
355,13,2,suite,250.57,1
68,12,2,standard,163.82,0
202,13,1,standard,335.93,0
185,1,3,standard,67.9,1
246,10,2,standard,316.66,1
245,12,3,standard,261.23,1
265,13,2,standard,382.6,0
31,7,1,family,400.71,0
143,7,1,deluxe,373.72,0
90,8,2,standard,79.05,0
131,1,3,suite,248.7,0
270,2,4,family,62.78,1
212,5,4,suite,300.05,0
221,8,2,standard,300.25,1
31,7,5,suite,379.3,1
240,4,2,deluxe,167.49,1
246,1,2,deluxe,129.16,0
277,4,2,standard,284.03,0
16,2,1,deluxe,358.93,0
285,11,1,suite,90.27,0
22,8,2,suite,75.88,0
343,7,4,standard,310.95,1
299,8,4,family,363.01,1
215,12,2,deluxe,404.11,1
90,9,1,standard,256.93,0
341,13,4,suite,436.49,1
313,9,4,standard,486.08,1
83,12,2,suite,146.84,0
251,1,5,standard,177.92,1
347,1,2,deluxe,296.7,0
154,13,5,family,87.24,0
209,2,3,family,267.05,1
256,10,4,family,484.49,1
262,7,5,deluxe,283.99,1
156,8,4,standard,476.84,1
322,10,5,standard,135.67,1
309,1,2,standard,351.23,1
58,12,3,deluxe,410.52,0
306,9,5,deluxe,457.92,1
10,9,3,suite,355.11,0
75,5,3,standard,404.98,1
65,7,5,deluxe,163.61,0
51,1,4,standard,343.51,0
195,13,5,standard,157.07,0
278,6,2,family,306.73,0
9,12,4,suite,215.97,0
256,13,2,deluxe,78.33,0
291,8,3,standard,60.1,1
174,4,5,deluxe,322.88,1
286,12,2,standard,117.72,0
357,6,5,deluxe,311.1,1
302,7,4,deluxe,181.98,1
215,2,4,standard,225.12,1
356,1,5,family,100.26,1
330,11,2,family,271.31,1
108,4,5,family,359.67,1
187,10,3,family,375.15,1
254,3,1,family,184.26,1
278,5,5,family,463.79,1
288,6,5,deluxe,216.57,1
177,2,1,deluxe,51.11,0
126,3,2,standard,399.26,1
198,10,2,standard,57.79,1
123,7,5,standard,407.24,1
83,9,3,family,495.58,1
114,1,1,standard,169.53,1
48,11,4,deluxe,221.21,0
197,5,1,suite,462.77,1
220,8,3,deluxe,89.21,0
275,6,3,deluxe,122.2,0
280,1,2,deluxe,420.67,1
72,12,2,deluxe,130.1,0
349,12,5,standard,479.01,1
283,7,2,standard,209.87,1
290,1,1,family,491.11,1
140,5,2,family,392.32,1
156,10,5,deluxe,313.2,0
127,13,1,deluxe,352.55,1
317,7,1,standard,407.36,1
345,1,2,deluxe,86.07,1
187,2,1,standard,155.97,1
21,6,2,suite,101.05,0
122,2,2,deluxe,384.61,0
326,10,4,deluxe,340.08,1
141,2,4,suite,245.3,1
212,1,2,family,483.66,1
169,4,1,standard,491.68,0
26,4,5,standard,362.96,0
213,5,2,suite,301.1,1
117,13,2,deluxe,379.0,0
191,13,1,suite,419.55,0
301,2,5,standard,444.78,1
287,5,2,standard,299.28,1
92,12,1,standard,237.11,0
118,10,2,family,102.73,0
129,8,1,suite,438.81,0
224,10,4,deluxe,309.2,1
363,9,2,suite,115.29,1
136,9,1,standard,453.25,1
34,1,2,standard,477.43,1
149,3,2,deluxe,497.62,0
288,12,3,suite,96.32,0
344,9,2,standard,410.89,1
346,7,2,family,192.18,1
321,5,5,deluxe,298.77,0
336,11,5,deluxe,107.35,1
318,9,4,suite,415.98,0
302,1,5,family,217.55,1
143,4,4,standard,82.69,1
183,1,1,family,58.53,1
164,12,3,suite,395.83,0
355,9,4,standard,315.99,0
360,8,3,standard,238.23,1
9,2,5,family,400.17,0
343,7,2,deluxe,332.63,1
124,13,3,suite,176.43,0
74,9,1,standard,194.66,0
352,1,3,standard,398.46,1
19,1,3,deluxe,304.84,0
154,11,1,family,390.24,0
257,6,3,suite,304.05,1
15,12,3,standard,469.87,0
218,8,4,family,466.75,1
224,13,1,deluxe,477.87,0
88,3,5,standard,365.62,0
140,4,4,standard,159.74,0
33,8,3,standard,258.35,0
277,13,1,suite,351.27,1
241,13,3,standard,249.97,0
184,2,1,standard,375.39,1
238,6,5,standard,429.8,1
38,5,3,family,254.28,0
37,12,1,deluxe,340.53,0
126,9,3,suite,98.18,0
95,6,1,deluxe,294.51,0
163,9,3,standard,450.63,1
72,6,2,deluxe,143.73,0
245,11,3,deluxe,144.32,1
358,12,4,family,345.93,1
246,3,3,suite,460.41,1
54,7,4,standard,281.59,0
187,10,2,standard,261.88,0
107,1,3,family,66.39,0
326,7,5,standard,149.93,1
241,5,5,deluxe,315.31,0
177,8,3,family,498.85,1
61,3,3,deluxe,411.15,0
216,3,4,suite,469.27,1
120,10,1,deluxe,322.3,0
45,13,2,deluxe,170.6,0
73,13,2,standard,372.78,0
266,5,5,standard,214.58,1
347,2,5,deluxe,329.22,1
287,10,3,suite,219.57,1
220,1,5,suite,278.44,1
13,2,4,deluxe,240.91,0
329,12,4,suite,479.99,1
246,1,4,standard,61.85,1
200,11,4,standard,477.63,0
143,1,2,standard,131.01,0
84,9,3,family,227.24,0
54,4,5,suite,483.67,1
343,10,2,deluxe,81.51,1
54,6,1,family,339.33,0
290,10,1,deluxe,400.81,1
28,1,1,standard,143.01,0
243,6,2,standard,104.26,0
175,11,1,deluxe,148.5,0
48,12,4,deluxe,352.75,0
227,7,3,standard,112.17,1
108,13,4,standard,339.01,0
182,13,5,deluxe,242.92,0
186,6,4,deluxe,209.23,1
231,8,4,family,210.82,1
152,3,4,standard,459.78,1
246,5,4,standard,240.61,1
295,5,1,standard,379.85,1
116,12,5,deluxe,202.33,0
344,9,3,family,331.03,1
12,11,1,family,55.36,0
59,2,1,deluxe,168.09,0
230,2,3,standard,176.04,1
225,1,2,deluxe,188.09,1
82,9,4,deluxe,354.42,0
362,11,1,standard,416.01,1
214,2,1,standard,90.87,1
82,10,1,deluxe,387.1,0
74,2,3,deluxe,247.69,0
201,8,1,suite,426.35,0
222,7,5,standard,283.12,1
120,13,4,suite,383.95,0
107,12,3,standard,489.94,0
250,12,4,standard,463.68,0
12,11,1,standard,125.9,0
121,2,2,deluxe,263.54,0
126,7,3,deluxe,359.67,0
265,12,4,family,384.34,1
231,11,1,suite,444.49,0
27,2,5,standard,86.04,0
222,2,1,standard,362.9,1
196,13,5,suite,202.38,0
141,7,1,deluxe,414.01,1
62,8,4,standard,272.79,0
36,7,4,standard,463.65,0
329,5,1,standard,65.84,1
224,5,5,standard,51.7,1
326,4,1,family,236.71,1
328,10,5,standard,165.2,1
133,11,3,standard,322.29,0
128,13,2,deluxe,344.96,0
228,1,1,suite,317.02,1
34,8,5,deluxe,486.59,1
337,2,5,standard,491.53,1
48,5,3,deluxe,441.82,0
149,1,5,standard,52.78,1
261,2,1,deluxe,267.51,1
63,7,2,standard,396.51,0
139,3,3,family,143.75,1
83,11,3,deluxe,440.67,0
87,7,1,family,330.24,0
328,9,5,standard,363.2,1
74,5,2,suite,234.73,0
188,12,1,family,485.93,0
247,7,1,deluxe,376.94,0
145,1,1,deluxe,128.6,0
83,10,2,standard,124.37,0
230,1,5,deluxe,252.97,1
205,7,2,standard,266.19,1
59,12,5,deluxe,271.48,0
21,1,1,deluxe,98.74,0
344,6,4,deluxe,222.68,1
38,8,2,suite,474.6,0
160,4,5,family,251.08,0
160,10,4,family,268.48,0
112,1,4,standard,183.45,0
76,7,2,standard,386.37,0
288,2,5,standard,483.15,1
114,6,2,family,386.96,1
290,7,5,deluxe,444.3,1
314,4,5,suite,462.42,1
329,6,1,suite,80.53,1
131,7,5,standard,167.63,0
327,5,2,deluxe,494.28,1
145,5,2,suite,444.05,0
277,9,1,deluxe,58.66,0
154,9,4,standard,341.55,0
364,3,5,suite,185.06,1
316,2,4,standard,380.37,1
231,12,3,suite,212.28,0
287,11,1,standard,457.91,1
182,7,4,standard,151.88,1
299,3,4,deluxe,419.63,1
40,13,1,family,153.97,0
109,9,4,family,432.47,0
228,1,2,family,153.5,1
330,2,2,standard,384.0,1
225,6,5,family,491.73,1
250,6,1,standard,347.02,1
354,1,1,suite,448.19,1
26,4,2,family,277.76,0
134,2,5,standard,92.42,1
13,3,2,deluxe,203.22,0
208,2,2,family,184.96,0
83,13,2,family,268.2,0
223,13,4,deluxe,391.22,1
216,2,4,deluxe,391.26,1
130,4,1,standard,336.45,0
212,10,3,deluxe,95.31,1
31,10,4,deluxe,70.36,0
210,10,4,family,163.77,0
304,4,3,deluxe,344.45,1
285,3,5,deluxe,301.87,1
235,4,4,family,88.14,1
266,1,2,deluxe,115.33,0
199,10,2,suite,467.65,0
205,9,1,deluxe,135.61,0
330,4,3,suite,272.94,1
141,11,5,standard,64.13,0
157,10,5,standard,155.2,0
290,8,4,standard,122.79,1
120,2,1,family,64.9,0
296,6,3,deluxe,150.15,0
206,3,3,standard,175.53,1
10,1,4,suite,208.13,0
65,1,3,standard,113.02,0
218,5,2,suite,244.55,1
59,11,2,deluxe,327.4,0
78,7,3,standard,328.19,0
301,10,3,standard,156.23,0
133,1,3,standard,296.91,0
45,2,5,standard,325.67,0
217,1,5,standard,289.18,1
247,8,1,deluxe,194.4,0
140,12,4,deluxe,209.71,0
70,11,3,standard,279.31,0
23,3,1,deluxe,404.4,0
78,1,2,standard,422.74,1
110,13,2,suite,239.46,0
354,7,4,deluxe,267.84,1
348,3,5,standard,378.19,1
2,9,2,suite,446.64,0
124,3,1,deluxe,476.39,0
88,1,2,standard,490.8,0
280,7,1,family,254.28,0
150,13,5,deluxe,397.69,0
188,2,2,family,407.87,0
