cement_kg,water_kg,age_days,mix_type,aggregate_kg,compressive_strength
214.4,198.6,119,highperf,773.8,48.97
130.6,137.0,278,standard,1095.8,40.41
159.7,221.4,275,lightweight,813.8,27.71
438.0,133.9,265,lightweight,897.2,63.18
432.7,196.9,63,standard,915.7,51.7
300.5,212.3,180,standard,703.7,40.53
286.9,133.0,345,standard,793.3,53.56
309.2,149.8,363,lightweight,742.1,45.45
173.3,217.7,326,lightweight,858.9,35.1
148.4,180.4,109,highperf,1017.0,48.1
219.9,115.9,98,standard,1187.9,46.83
399.3,182.0,76,highperf,950.5,66.89
457.2,144.6,129,standard,1088.9,64.24
352.5,134.7,112,standard,935.9,55.67
473.7,170.7,189,standard,841.8,64.65
140.7,110.4,220,lightweight,788.4,30.66
311.9,203.1,351,standard,1195.5,52.57
170.0,128.9,274,standard,1132.7,43.31
475.5,179.0,71,standard,945.2,61.1
450.4,131.4,120,standard,802.8,56.11
246.5,240.4,211,standard,1135.2,38.68
152.0,235.1,235,lightweight,781.3,31.08
272.3,189.0,329,highperf,772.7,55.92
446.4,176.1,220,highperf,900.2,71.18
108.7,125.2,147,standard,818.8,39.59
218.4,102.8,99,highperf,841.4,53.87
371.8,216.4,66,lightweight,1026.2,40.89
140.4,229.9,267,standard,786.1,34.39
381.9,134.9,255,standard,1026.4,57.85
201.9,130.6,303,lightweight,1105.8,42.89
169.5,127.7,156,highperf,1139.6,50.16
291.2,170.6,278,highperf,758.6,59.76
153.0,111.8,177,highperf,1175.2,48.58
404.1,131.8,343,highperf,1081.2,70.78
471.5,199.8,326,standard,997.4,64.69
101.8,103.5,152,standard,913.0,34.8
123.8,234.0,120,standard,1164.8,41.06
269.3,105.2,14,highperf,800.5,47.19
184.3,181.2,118,highperf,851.4,47.16
302.4,150.9,193,highperf,785.8,55.97
304.5,238.9,62,standard,1006.8,44.15
449.1,176.7,354,lightweight,944.1,55.42
341.2,139.3,163,standard,812.9,50.69
468.3,140.5,148,standard,890.4,63.88
365.6,218.2,248,standard,774.0,50.45
443.2,236.7,109,lightweight,1162.2,54.75
480.1,108.9,66,standard,905.4,61.67
295.4,135.7,288,standard,960.4,46.7
179.7,173.0,97,highperf,1061.5,52.52
438.0,208.9,131,standard,713.8,55.09
370.2,198.7,68,standard,719.3,46.23
130.9,172.1,177,highperf,757.2,39.8
370.2,210.3,270,lightweight,811.9,48.58
496.9,218.9,219,highperf,924.5,71.67
220.2,164.5,318,highperf,878.7,52.96
206.2,221.5,63,highperf,1178.6,51.33
335.2,234.8,339,highperf,762.6,59.08
331.2,109.9,268,lightweight,1184.2,51.43
225.2,116.8,171,lightweight,707.2,34.3
187.3,156.9,73,standard,974.1,35.99
207.3,136.6,155,highperf,789.9,48.07
237.3,176.7,172,standard,904.5,49.66
130.2,153.5,205,standard,1030.0,35.67
260.1,103.7,38,highperf,1121.4,54.3
228.9,167.5,295,lightweight,818.4,40.45
216.1,194.0,332,standard,874.2,42.12
399.5,218.2,290,highperf,1193.4,70.22
350.3,111.5,120,highperf,1125.7,66.92
107.7,148.2,3,standard,730.6,21.85
191.5,237.0,186,standard,934.7,34.89
265.9,239.7,351,highperf,779.5,50.53
229.2,194.8,314,standard,1069.3,42.89
359.9,244.1,9,standard,1174.6,45.69
376.6,183.8,281,standard,723.4,53.94
322.8,168.9,299,highperf,841.8,62.81
215.1,183.2,200,highperf,1029.3,50.64
496.5,204.0,306,standard,1057.8,66.49
181.4,128.3,274,lightweight,963.5,37.38
283.2,132.6,139,highperf,741.4,54.39
340.4,111.9,175,highperf,1027.0,62.72
362.1,162.1,325,lightweight,1087.2,56.41
410.2,162.1,262,standard,882.3,62.17
247.9,101.8,285,highperf,808.7,60.16
361.1,140.9,51,standard,1169.5,58.43
377.6,110.7,289,standard,1009.9,65.31
202.5,244.2,81,lightweight,785.8,32.74
138.7,200.5,348,standard,948.9,34.6
488.4,130.1,238,standard,848.3,66.9
152.3,167.0,196,standard,1009.1,39.12
458.8,111.9,308,lightweight,849.5,58.54
291.3,176.9,119,highperf,979.6,50.32
495.4,240.1,85,lightweight,1122.2,56.71
393.7,232.2,245,standard,912.0,58.8
268.0,218.0,31,standard,765.6,40.89
351.3,247.5,299,standard,1096.4,52.81
428.2,228.1,240,standard,887.3,56.16
412.8,211.5,162,highperf,727.2,62.58
162.8,162.7,40,standard,1055.7,41.25
390.3,178.8,85,lightweight,1089.8,53.38
144.6,101.9,348,highperf,798.1,52.13
496.9,104.6,92,highperf,1074.6,74.43
388.5,214.8,311,highperf,995.4,66.37
174.2,207.7,128,lightweight,809.1,29.22
111.3,140.5,352,standard,913.7,43.4
488.2,244.1,229,standard,1065.3,67.64
100.6,101.7,321,lightweight,932.8,41.89
428.1,218.2,215,standard,753.0,56.45
326.3,182.7,270,standard,972.1,52.11
298.6,148.8,356,highperf,1164.8,69.91
198.1,195.2,163,standard,1161.9,42.89
323.8,183.3,324,standard,965.2,52.22
340.3,103.4,229,standard,827.8,58.41
136.8,155.1,248,standard,1197.8,39.35
207.5,224.8,263,highperf,895.9,50.95
327.0,194.5,244,standard,792.2,49.54
138.5,108.9,263,standard,1154.5,44.47
160.9,119.0,79,standard,720.9,36.74
424.0,106.6,355,standard,1062.0,67.7
372.3,156.6,137,standard,899.0,62.85
223.5,191.6,44,highperf,1154.2,48.21
489.6,149.1,203,highperf,1072.7,75.44
308.7,220.8,350,standard,823.8,47.77
322.5,110.4,332,standard,838.8,53.93
115.4,197.1,354,lightweight,1099.1,31.57
497.9,145.5,78,standard,927.9,69.92
380.0,178.8,253,lightweight,1121.6,53.05
478.4,147.3,128,lightweight,975.4,54.2
182.0,210.0,62,highperf,1095.1,45.18
298.4,226.5,155,standard,1139.6,48.41
260.8,112.1,325,highperf,1044.4,57.21
164.8,193.4,140,standard,733.7,35.97
237.3,185.4,119,standard,791.8,37.73
225.5,134.4,134,standard,822.1,43.99
245.4,245.7,337,standard,838.9,44.2
249.8,195.5,292,standard,1054.4,45.89
356.0,206.4,25,lightweight,1072.4,42.46
243.0,114.5,155,standard,700.1,51.69
433.1,213.1,207,standard,921.0,57.74
472.8,186.8,214,highperf,1108.9,72.05
242.2,113.5,49,standard,904.7,44.38
147.8,100.0,143,lightweight,1162.4,38.52
291.0,244.0,130,lightweight,975.5,42.82
486.9,190.9,102,standard,1058.9,65.97
399.7,203.7,26,standard,1145.5,53.53
461.9,157.8,191,highperf,1075.4,73.41
407.3,164.7,35,standard,848.6,47.68
180.8,184.0,198,standard,1187.2,41.48
414.1,248.2,307,standard,737.6,59.02
343.3,137.0,68,standard,967.1,53.3
238.4,150.7,264,standard,705.3,40.21
330.2,152.5,44,lightweight,1101.2,44.32
245.5,162.7,173,lightweight,1197.1,46.44
187.3,121.2,236,highperf,1152.1,55.35
317.1,231.8,66,highperf,1198.8,48.98
128.6,234.4,343,highperf,1117.3,43.36
327.4,103.8,344,highperf,711.6,61.39
105.7,149.3,229,standard,824.9,32.27
316.3,167.2,94,lightweight,954.3,44.29
348.5,234.9,30,standard,1194.3,48.8
126.5,210.2,232,lightweight,892.6,28.84
377.2,195.6,81,highperf,1173.1,59.54
148.9,200.9,314,standard,1152.1,39.72
272.7,108.2,23,lightweight,784.4,40.37
281.0,129.0,45,standard,906.0,42.28
160.0,213.7,357,standard,884.4,36.59
223.4,224.0,334,lightweight,794.7,37.19
469.1,112.9,85,highperf,827.6,77.74
334.7,120.1,262,lightweight,1083.7,52.01
353.9,131.2,123,standard,943.7,58.78
285.0,223.6,30,standard,925.2,41.24
371.5,156.8,19,standard,918.8,49.43
370.4,106.7,182,standard,862.2,56.63
250.2,219.9,291,lightweight,1144.5,49.36
161.6,234.0,61,highperf,829.7,45.78
394.3,165.1,9,lightweight,761.8,38.81
411.2,167.9,356,lightweight,735.7,54.7
467.4,202.9,323,standard,780.2,65.36
152.3,179.4,55,lightweight,779.4,24.45
400.8,227.6,173,standard,823.7,49.8
357.7,174.4,118,highperf,835.6,61.71
302.9,191.0,344,standard,989.7,47.95
118.6,174.2,150,highperf,822.2,42.84
220.6,138.8,347,highperf,1188.1,57.65
405.8,142.5,96,standard,962.7,54.46
469.3,234.2,151,lightweight,962.2,51.0
216.8,164.5,208,standard,811.4,48.29
340.7,202.2,42,standard,741.8,49.51
269.5,114.9,212,standard,788.0,50.53
251.0,214.6,264,standard,1023.6,47.23
435.7,161.6,123,standard,926.4,58.95
275.2,202.5,173,lightweight,711.7,45.03
152.3,187.6,178,standard,1005.5,42.97
212.2,167.4,2,standard,1054.0,39.66
148.6,114.8,198,standard,906.4,42.33
455.9,201.7,363,standard,905.5,65.03
439.0,132.3,324,standard,981.7,65.01
360.5,197.8,144,standard,764.1,50.71
306.3,212.9,104,highperf,850.5,60.28
320.3,209.1,84,highperf,1057.9,56.03
249.3,208.3,231,standard,955.0,49.25
389.5,217.2,130,highperf,739.8,57.85
241.2,224.1,286,standard,1105.2,46.42
205.1,110.1,139,lightweight,805.2,41.33
298.1,105.1,172,lightweight,934.0,48.44
133.8,178.5,211,standard,744.5,41.36
167.7,185.2,37,standard,861.8,30.04
496.1,171.1,192,highperf,933.3,74.62
184.1,221.9,112,highperf,811.5,43.91
404.8,233.2,263,lightweight,1082.1,56.24
372.7,219.6,133,standard,1093.5,54.13
188.4,164.9,30,standard,1149.0,35.01
399.9,158.3,224,standard,1124.5,63.63
469.1,246.1,290,standard,1064.8,60.38
391.9,114.3,4,highperf,1136.8,60.55
282.3,176.4,37,standard,890.7,44.53
108.0,103.8,192,highperf,865.1,41.0
212.1,221.0,234,lightweight,863.0,36.45
184.7,104.7,331,standard,795.4,44.5
304.0,246.5,298,standard,1044.4,51.87
388.6,148.6,61,highperf,1192.1,68.9
338.0,203.2,65,standard,1171.5,55.43
303.7,191.2,216,lightweight,955.8,39.27
255.8,164.5,289,standard,857.6,51.01
312.0,126.4,108,highperf,762.2,56.9
403.8,205.1,209,lightweight,1069.4,49.23
224.7,208.7,102,standard,1129.0,42.83
436.3,122.9,123,standard,984.2,59.27
480.6,185.0,315,standard,1003.7,68.12
315.5,129.5,254,standard,770.7,52.49
451.3,175.6,278,standard,1047.1,63.52
113.3,129.6,160,lightweight,839.6,37.7
314.4,136.3,220,highperf,749.4,60.21
190.5,106.3,207,standard,945.0,45.8
169.1,175.6,37,standard,1087.4,34.34
471.5,111.6,232,standard,821.1,64.34
146.8,116.5,279,standard,1098.4,43.54
394.8,209.4,116,highperf,944.7,61.9
180.1,151.1,175,lightweight,941.0,39.43
251.2,170.7,160,highperf,922.8,51.12
155.5,179.4,331,highperf,704.9,48.84
457.2,119.4,215,lightweight,971.0,63.49
154.7,131.6,167,lightweight,742.4,33.21
180.3,149.7,252,highperf,1089.4,51.6
192.9,146.2,51,standard,1144.0,38.53
194.3,185.7,325,highperf,712.1,50.78
373.7,216.1,24,lightweight,1180.1,40.93
340.6,140.2,211,standard,861.7,54.3
472.8,241.7,359,standard,875.4,65.23
482.4,153.9,101,standard,821.9,62.89
185.9,239.9,148,highperf,819.6,42.75
491.3,244.5,17,lightweight,732.6,50.1
481.0,109.7,76,standard,871.0,64.86
483.5,100.6,252,standard,1164.8,69.64
217.7,222.5,362,highperf,1018.4,52.08
433.0,240.1,89,standard,929.5,51.5
284.3,207.9,110,highperf,714.4,45.24
243.0,169.4,154,lightweight,873.7,36.5
259.9,221.0,104,standard,779.6,43.53
255.3,117.4,235,standard,705.3,44.83
373.4,107.8,84,highperf,798.0,68.45
308.7,181.6,105,highperf,965.9,62.02
402.6,107.7,24,standard,913.3,53.27
251.2,134.3,10,standard,1020.8,40.98
493.8,239.4,310,lightweight,922.4,53.89
106.8,163.6,252,standard,714.6,38.87
212.9,139.6,342,lightweight,759.7,41.42
366.5,162.3,215,highperf,864.2,63.42
470.8,208.4,254,lightweight,1024.4,56.48
444.4,187.0,164,standard,1078.1,61.53
362.4,146.8,127,lightweight,791.4,45.55
160.1,222.9,3,lightweight,960.5,19.43
171.7,131.5,361,standard,982.0,42.6
382.0,155.4,236,standard,975.7,57.13
222.6,100.2,63,standard,832.5,43.34
487.7,225.9,277,standard,1177.5,69.78
401.9,201.6,259,standard,1107.0,58.82
425.4,192.6,268,standard,1118.3,63.01
187.4,176.1,257,lightweight,1002.0,36.8
489.4,182.7,249,lightweight,757.7,59.45
122.2,111.8,217,highperf,833.2,43.59
387.7,202.5,163,highperf,951.9,67.57
386.9,130.7,340,standard,774.1,56.17
343.6,212.6,316,standard,1019.9,56.15
171.6,223.0,67,standard,848.9,34.32
139.8,230.3,113,highperf,912.1,35.71
354.6,249.2,5,lightweight,1095.4,37.09
350.6,245.2,340,standard,1095.6,55.43
190.9,119.6,296,highperf,1078.0,52.92
155.2,136.0,337,highperf,975.7,50.68
117.8,230.4,77,standard,1122.1,28.61
352.2,116.8,255,highperf,943.7,72.46
233.7,190.6,337,highperf,1181.2,58.89
447.2,244.9,308,standard,966.4,57.96
271.6,109.1,251,standard,964.5,51.38
306.5,107.0,173,highperf,999.5,68.23
171.7,157.2,157,lightweight,1075.1,36.71
442.9,146.3,29,standard,820.8,51.64
134.1,129.1,254,standard,895.9,36.0
475.6,206.5,272,lightweight,1098.2,62.83
242.0,123.0,8,lightweight,1168.6,40.3
398.9,196.1,201,standard,1017.2,53.3
368.6,206.8,188,highperf,1048.9,61.57
453.4,198.9,34,standard,798.5,54.8
162.1,177.1,213,standard,973.9,41.97
234.2,216.9,217,highperf,1102.6,45.67
255.1,221.2,62,standard,1036.1,38.84
331.4,222.6,184,lightweight,1178.5,50.01
333.9,135.8,224,standard,1079.2,52.51
137.5,248.6,19,standard,1077.9,28.26
297.8,101.1,149,lightweight,783.0,46.53
439.6,174.4,12,lightweight,977.7,51.68
275.1,127.4,126,standard,810.5,48.25
155.7,246.4,227,highperf,771.9,42.34
177.7,150.8,259,highperf,1147.3,57.29
239.5,248.2,89,standard,1033.3,47.13
291.1,166.9,53,lightweight,747.6,40.34
383.8,179.3,38,highperf,1016.4,56.92
316.7,195.3,18,standard,1049.9,42.25
476.9,205.5,334,lightweight,951.0,57.76
245.8,228.3,202,lightweight,798.6,36.42
154.3,214.2,206,standard,923.0,36.09
157.7,168.7,160,standard,786.9,38.2
426.6,153.4,32,standard,962.2,56.76
372.2,121.4,191,lightweight,923.5,55.04
485.6,231.0,312,standard,784.4,63.24
274.4,175.3,202,standard,991.0,48.0
414.2,123.4,191,standard,1150.7,64.5
445.5,124.1,304,highperf,784.8,74.37
211.8,128.2,108,lightweight,1124.6,40.88
472.0,157.6,217,standard,887.8,63.82
388.0,133.6,178,standard,1199.1,62.9
416.7,199.7,174,standard,1185.1,62.86
317.9,128.6,33,standard,957.4,41.21
267.1,103.0,42,highperf,1059.7,56.79
293.4,167.8,334,highperf,946.3,63.58
311.0,214.4,60,highperf,1023.0,55.97
192.3,240.0,339,standard,767.1,41.8
339.3,164.3,328,highperf,1175.2,68.73
114.3,207.9,167,highperf,775.2,36.27
275.5,223.9,103,highperf,954.3,56.38
274.3,116.8,321,highperf,1136.8,64.28
446.3,182.5,29,standard,919.9,59.22
442.7,213.2,2,standard,1055.8,47.41
128.7,242.2,142,standard,832.9,30.2
219.2,231.5,269,highperf,830.8,50.13
237.3,224.3,338,standard,870.3,44.97
207.1,228.4,231,standard,1021.0,45.06
422.4,232.0,128,lightweight,1044.3,47.73
399.0,122.1,273,lightweight,1050.9,56.45
314.5,214.0,214,standard,753.5,48.47
336.0,176.4,313,highperf,1147.3,66.57
341.9,131.5,57,standard,823.4,47.83
223.4,119.5,166,highperf,1040.3,65.2
176.9,235.6,35,standard,754.4,32.66
192.9,230.1,278,standard,940.5,41.11
294.0,196.3,257,standard,751.6,45.51
489.6,241.5,215,standard,967.8,61.14
419.5,217.3,359,highperf,793.4,58.76
290.4,243.0,182,highperf,988.5,55.01
256.6,147.7,362,lightweight,752.8,44.08
486.5,160.8,281,lightweight,932.7,68.12
430.9,112.7,137,standard,949.3,58.4
462.8,159.3,183,standard,896.5,70.66
387.4,146.4,117,highperf,815.9,67.66
245.4,212.2,319,standard,911.9,49.98
249.3,205.8,89,highperf,1107.1,49.13
490.7,213.8,47,standard,1166.1,62.96
498.4,105.0,95,standard,1141.5,74.45
406.0,207.5,130,standard,874.5,53.36
128.4,210.2,154,standard,1035.9,31.61
375.4,236.4,360,lightweight,770.4,47.15
195.5,232.1,35,lightweight,1082.5,34.95
426.8,218.7,98,standard,1176.0,57.45
236.4,244.6,56,highperf,1051.9,44.53
372.5,129.4,350,highperf,989.8,67.84
270.7,208.5,279,standard,1001.2,47.21
442.7,202.7,287,lightweight,1117.9,58.94
494.2,139.7,71,standard,837.8,66.11
196.3,110.8,283,highperf,790.2,53.72
388.7,232.8,74,highperf,899.7,59.15
108.7,240.4,235,standard,808.7,29.46
258.9,191.3,303,standard,915.4,53.07
426.0,231.7,106,standard,901.1,54.67
204.2,117.6,176,lightweight,1003.8,44.25
329.5,200.8,48,highperf,889.7,56.03
248.5,195.4,245,highperf,988.5,58.22
268.9,227.7,310,lightweight,1000.0,40.92
471.4,217.9,231,lightweight,1120.3,56.8
286.7,191.2,13,standard,989.3,39.28
479.8,196.8,241,standard,824.8,59.11
423.4,117.0,47,standard,911.6,58.12
232.6,100.9,314,standard,1168.9,49.29
263.6,165.8,41,standard,1189.7,47.8
175.4,217.6,87,standard,1050.4,33.17
255.4,146.3,46,lightweight,1132.1,45.22
208.6,224.2,213,highperf,1061.9,45.23
499.8,143.4,157,lightweight,950.4,58.5
303.8,248.1,59,highperf,742.0,47.78
333.5,165.3,326,standard,1133.7,57.26
485.2,102.7,28,standard,951.0,57.2
489.3,108.2,78,lightweight,966.8,58.9
212.7,150.0,363,standard,1007.6,51.01
310.5,229.5,146,standard,741.7,41.28
226.5,166.6,19,highperf,1040.5,44.87
480.9,239.5,260,lightweight,980.0,62.63
315.0,143.9,73,standard,1183.8,54.14
363.9,186.4,85,highperf,1031.0,59.93
156.8,210.9,280,standard,784.1,36.87
259.7,237.9,82,highperf,884.8,49.45
214.7,149.3,112,standard,797.4,40.09
422.9,207.4,191,standard,820.6,56.51
459.6,210.9,183,standard,1028.2,65.43
483.6,187.5,141,standard,830.5,62.63
457.6,174.9,262,standard,1071.1,60.01
386.0,190.0,185,standard,754.0,58.59
240.6,112.7,236,lightweight,1140.4,46.57
474.9,243.2,245,highperf,853.2,77.57
179.2,133.0,32,highperf,1025.8,45.03
119.9,104.8,33,standard,1181.0,33.17
280.2,183.4,256,standard,890.4,47.29
199.2,246.8,111,standard,893.9,33.48
435.5,200.3,64,standard,1032.3,52.1
421.6,127.7,173,highperf,718.2,65.96
397.9,162.4,28,lightweight,1069.2,45.19
291.0,114.9,253,highperf,1130.1,65.99
348.1,211.2,218,highperf,702.8,61.67
241.1,220.8,163,lightweight,1078.8,34.38
203.2,163.4,20,standard,832.5,31.19
142.0,226.4,241,standard,1033.6,33.56
326.1,103.7,100,lightweight,813.5,48.17
134.2,243.4,235,standard,927.0,34.58
206.0,142.7,197,lightweight,1187.0,42.7
472.4,116.6,40,standard,818.1,61.75
160.9,214.9,54,standard,981.3,39.25
414.6,151.9,2,highperf,893.7,55.4
307.1,202.7,37,highperf,1188.3,54.33
268.5,145.2,218,standard,778.5,42.1
455.7,117.5,100,standard,783.4,57.45
397.2,162.7,206,standard,970.6,59.35
159.3,142.4,135,lightweight,836.4,36.85
297.3,109.1,73,lightweight,932.3,49.2
269.1,118.6,71,lightweight,806.4,45.72
417.0,121.9,41,standard,793.9,57.34
326.3,148.5,263,highperf,830.2,62.45
429.4,136.0,144,standard,1185.9,65.85
166.1,224.4,213,highperf,850.2,42.99
263.6,226.1,285,lightweight,1147.8,44.41
164.4,159.5,41,standard,911.5,37.84
464.5,187.0,218,standard,1004.7,62.36
413.9,213.3,30,standard,897.7,50.53
329.1,211.4,122,standard,1194.1,51.16
305.5,115.2,324,highperf,891.6,60.3
301.0,216.2,255,highperf,1183.2,61.34
494.6,201.5,19,standard,1072.3,61.38
300.2,126.0,60,highperf,1014.6,59.12
319.9,151.7,321,standard,1180.1,49.35
313.2,180.7,208,lightweight,1086.6,46.06
220.3,193.9,274,lightweight,799.3,39.41
187.6,241.2,170,standard,1100.9,39.56
179.5,178.4,319,standard,1170.8,45.06
345.4,128.6,167,standard,1091.1,56.1
136.2,178.6,362,standard,859.4,46.38
117.2,194.2,51,standard,1008.3,31.8
253.1,173.5,106,lightweight,825.4,41.35
205.8,148.1,110,lightweight,959.4,35.3
268.4,114.9,142,standard,763.4,51.94
240.6,238.5,263,lightweight,903.5,35.69
404.8,152.2,356,lightweight,744.3,50.1
372.5,231.6,69,standard,755.2,50.08
264.6,141.0,92,highperf,767.5,52.86
188.6,193.6,230,standard,707.5,35.18
451.2,161.5,156,standard,1024.6,61.3
169.8,192.5,346,standard,1153.1,40.56
132.9,111.7,102,highperf,1171.6,48.62
430.7,201.7,137,standard,870.4,59.18
157.4,130.5,158,highperf,970.7,50.52
353.9,139.7,210,standard,943.9,57.7
392.8,101.0,359,standard,979.6,62.23
492.3,248.7,198,lightweight,794.6,54.65
496.2,229.0,277,highperf,1009.8,74.72
384.3,193.9,270,standard,868.8,56.36
428.2,117.6,36,standard,967.8,62.98
275.2,160.3,140,standard,874.4,43.94
237.7,114.5,32,lightweight,736.9,41.26
499.0,116.8,50,highperf,1175.6,69.46
179.4,182.2,36,standard,932.5,30.07
143.9,214.1,25,highperf,1147.2,41.1
161.3,167.5,255,standard,757.3,40.53
356.5,240.1,193,lightweight,1076.9,49.65
279.7,174.9,270,highperf,809.2,55.93
132.5,140.0,171,standard,1021.6,42.84
118.4,112.1,214,standard,1028.7,40.15
463.8,148.2,222,standard,1163.9,70.71
340.4,176.9,98,standard,879.8,52.15
416.0,236.5,343,lightweight,1118.2,49.75
469.7,115.0,234,highperf,1086.7,72.61
147.1,184.1,304,standard,1034.4,40.91
150.5,148.1,314,standard,972.3,42.7
427.1,191.9,176,standard,1093.5,57.21
260.7,241.8,174,highperf,800.7,49.52
353.1,231.1,317,highperf,716.7,59.72
319.9,202.8,69,highperf,844.7,57.09
453.8,128.5,246,standard,1010.2,66.02
319.1,202.8,277,highperf,819.2,55.41
184.8,240.7,364,standard,1130.7,41.41
438.5,131.4,137,highperf,836.7,65.46
472.9,111.8,125,lightweight,805.9,62.03
418.7,130.9,344,standard,980.4,59.34
241.6,194.2,152,highperf,1134.4,52.21
209.4,113.7,131,lightweight,1037.7,44.53
425.6,133.2,355,highperf,783.4,69.27
252.8,136.2,329,standard,853.2,48.41
306.9,136.4,235,lightweight,1040.3,48.85
114.6,158.5,314,standard,814.6,38.21
467.7,246.8,28,lightweight,1196.3,55.61
362.5,185.8,139,standard,732.1,55.7
152.1,204.8,261,lightweight,901.9,30.23
144.8,101.4,99,lightweight,785.0,33.42
298.2,199.7,80,lightweight,1051.7,40.78
411.2,200.7,118,highperf,779.4,61.98
150.7,212.4,178,standard,787.9,36.53
114.1,196.7,86,lightweight,853.3,25.48
403.6,187.1,355,lightweight,825.4,50.92
261.1,100.2,85,highperf,886.6,56.71
408.8,180.1,12,lightweight,970.7,43.55
174.4,236.8,20,highperf,961.1,37.11
492.2,183.5,140,lightweight,705.6,61.44
341.6,230.8,182,highperf,918.3,62.48
375.1,227.7,262,lightweight,781.9,41.96
261.4,211.9,4,highperf,1141.6,43.59
289.2,219.0,251,lightweight,746.8,43.02
126.8,233.8,229,standard,823.4,38.69
232.3,205.1,269,standard,736.0,41.79
131.3,107.4,95,standard,1134.5,37.97
434.7,179.6,336,highperf,1165.4,73.27
253.7,193.7,227,lightweight,880.3,39.44
228.9,217.3,149,standard,927.7,44.23
209.2,143.5,353,standard,1132.6,51.57
174.9,100.8,156,highperf,815.4,46.93
408.1,133.9,295,highperf,1142.6,67.6
466.8,142.2,183,highperf,918.0,67.14
324.1,228.6,148,standard,744.9,44.62
461.5,174.0,86,standard,762.8,60.33
120.2,124.8,312,highperf,969.8,48.84
403.8,210.2,17,lightweight,1098.0,48.64
401.5,126.5,7,standard,1152.1,51.84
149.0,114.8,297,highperf,1114.6,52.55
221.0,142.2,322,standard,807.8,42.87
149.2,249.7,127,highperf,858.1,42.0
156.1,120.1,271,standard,877.6,42.67
235.1,208.1,102,highperf,983.4,47.82
332.2,143.1,251,standard,703.3,52.64
206.4,242.2,339,standard,928.2,43.59
360.3,188.9,153,highperf,1187.5,66.12
391.9,176.8,229,standard,776.6,55.73
487.7,104.5,308,standard,877.4,67.79
359.0,247.3,205,lightweight,982.1,49.43
132.5,184.9,151,standard,747.5,29.96
187.6,118.6,100,standard,1054.4,41.3
462.0,191.0,216,lightweight,1070.5,57.84
426.7,224.3,189,standard,1134.9,54.56
136.9,249.5,258,highperf,906.6,45.69
375.3,159.7,299,highperf,1170.3,71.95
423.9,175.1,151,highperf,1128.5,70.74
166.9,143.5,230,highperf,943.0,51.18
171.5,238.8,12,standard,749.6,34.39
389.2,118.4,220,lightweight,1148.7,57.19
417.1,168.3,65,lightweight,742.2,51.14
251.8,207.1,294,highperf,708.3,48.95
191.6,157.2,155,standard,1001.5,43.71
137.7,123.3,92,standard,1097.0,37.64
113.5,243.8,161,highperf,1128.6,43.83
481.4,139.3,182,standard,984.5,70.74
301.2,102.1,318,standard,1085.1,52.85
272.5,170.0,65,highperf,929.5,45.8
456.3,204.1,243,standard,808.1,58.44
322.9,243.8,332,lightweight,802.8,39.82
325.4,233.6,225,lightweight,1000.1,47.8
410.8,207.5,106,lightweight,1026.8,51.29
283.6,236.7,259,lightweight,946.0,39.66
267.0,157.4,323,standard,756.8,50.05
217.9,240.4,191,highperf,818.1,48.29
346.5,238.4,145,highperf,960.3,63.09
466.7,153.4,255,highperf,916.3,72.25
315.1,223.7,236,lightweight,787.1,40.89
395.6,189.4,11,lightweight,990.9,41.63
108.9,108.5,125,lightweight,927.7,32.96
386.8,156.4,293,standard,998.3,60.45
282.2,194.7,37,lightweight,934.2,38.39
218.7,182.7,199,standard,731.8,38.62
165.9,213.0,184,standard,845.8,41.04
298.2,143.1,163,lightweight,1027.9,48.37
403.4,103.4,163,lightweight,756.6,53.83
116.6,245.7,174,lightweight,779.0,25.26
303.5,171.4,181,lightweight,880.1,46.86
360.3,139.6,75,highperf,803.3,59.5
318.1,169.0,152,lightweight,1158.7,54.31
257.0,226.7,250,highperf,1005.9,51.21
402.9,130.3,261,standard,911.2,57.21
108.0,129.7,156,standard,1038.0,37.99
314.7,168.7,197,lightweight,717.2,47.78
389.9,228.9,285,standard,799.0,53.38
253.2,195.0,243,lightweight,720.2,39.57
484.6,119.8,214,standard,993.4,68.61
381.7,248.5,160,highperf,760.7,54.72
425.6,246.7,208,highperf,987.0,70.55
165.8,106.7,216,highperf,708.1,47.22
289.6,225.1,191,highperf,862.3,50.86
411.9,241.5,77,standard,1005.3,53.05
292.3,150.6,225,standard,767.3,49.32
251.3,186.8,201,standard,1057.6,48.99
140.9,221.8,269,standard,836.4,32.01
268.5,100.4,279,standard,982.5,53.48
419.1,246.7,287,highperf,882.4,61.73
380.2,198.6,108,standard,873.2,50.75
249.6,247.0,150,standard,724.8,36.87
329.3,134.7,158,standard,1066.7,59.65
438.4,220.5,262,highperf,816.8,68.59
366.4,211.0,346,highperf,1181.4,62.7
450.5,249.6,114,highperf,843.9,64.49
121.6,120.1,340,highperf,1134.3,56.17
219.4,176.6,134,highperf,950.6,49.56
240.8,140.5,3,lightweight,1106.5,28.86
333.8,226.7,146,standard,831.8,48.11
469.6,105.6,289,standard,1162.5,71.16
250.9,104.2,306,highperf,1023.9,60.14
345.9,175.3,107,highperf,1081.8,52.09
363.8,143.5,45,lightweight,747.9,48.67
291.9,100.6,142,standard,1046.6,52.45
310.1,147.4,51,standard,980.8,47.03
101.2,128.6,138,highperf,788.5,41.34
