day,outlook,temperature,humidity,wind,play_golf
901,rainy,31,77,strong,no
902,sunny,34,74,weak,yes
903,overcast,27,40,weak,yes
904,overcast,37,54,weak,yes
905,overcast,15,46,weak,yes
906,sunny,16,64,strong,yes
907,sunny,17,63,strong,no
908,overcast,26,37,strong,no
909,sunny,33,78,weak,yes
910,sunny,19,73,strong,yes
911,overcast,23,88,weak,no
912,sunny,21,80,strong,no
913,rainy,16,45,weak,no
914,sunny,24,64,weak,yes
915,overcast,30,42,weak,yes
916,overcast,34,48,weak,yes
917,overcast,32,39,weak,yes
918,rainy,16,70,strong,no
919,sunny,31,93,strong,no
920,overcast,15,60,weak,yes
921,sunny,16,57,weak,yes
922,overcast,26,74,strong,no
923,rainy,37,72,strong,no
924,sunny,26,56,weak,yes
925,overcast,17,51,strong,no
926,sunny,17,71,weak,no
927,rainy,28,32,strong,yes
928,sunny,18,72,weak,yes
929,rainy,35,80,weak,no
930,overcast,27,63,weak,yes
931,rainy,15,92,weak,no
932,rainy,17,53,strong,no
933,overcast,34,68,weak,yes
934,sunny,33,86,strong,yes
935,overcast,36,50,weak,yes
936,overcast,32,45,weak,yes
937,overcast,23,46,strong,yes
938,overcast,33,57,weak,yes
939,overcast,36,90,strong,no
940,overcast,34,62,weak,yes
941,rainy,30,73,strong,no
942,overcast,17,63,weak,no
943,overcast,22,54,weak,no
944,sunny,28,74,weak,yes
945,overcast,25,84,strong,no
946,sunny,18,40,weak,yes
947,sunny,15,93,strong,no
948,overcast,25,77,weak,yes
949,sunny,36,91,strong,no
950,sunny,17,94,strong,yes
951,sunny,33,35,strong,no
952,sunny,29,80,weak,no
953,overcast,36,91,strong,no
954,sunny,17,34,strong,no
955,sunny,26,38,weak,yes
956,overcast,15,41,strong,yes
957,overcast,16,88,weak,no
958,rainy,31,40,strong,no
959,overcast,33,53,strong,no
960,sunny,17,83,strong,no
961,rainy,23,57,strong,no
962,overcast,31,31,weak,yes
963,sunny,23,36,strong,yes
964,sunny,15,46,strong,no
965,rainy,20,90,weak,no
966,overcast,30,55,weak,yes
967,overcast,16,85,strong,no
968,overcast,20,79,weak,yes
969,overcast,24,44,strong,no
970,sunny,35,71,weak,yes
971,overcast,18,30,strong,yes
972,sunny,26,68,weak,yes
973,overcast,22,37,strong,no
974,sunny,27,76,weak,no
975,rainy,24,67,weak,no
976,rainy,24,41,weak,yes
977,rainy,24,57,strong,no
978,rainy,32,40,weak,no
979,sunny,29,53,weak,no
980,sunny,37,90,strong,no
981,sunny,15,68,weak,yes
982,rainy,30,74,weak,no
983,rainy,31,92,strong,no
984,sunny,32,67,weak,no
985,overcast,18,39,weak,yes
986,rainy,31,80,weak,no
987,overcast,23,83,weak,yes
988,rainy,22,60,weak,no
989,sunny,28,82,weak,yes
990,overcast,21,30,weak,yes
991,sunny,36,31,weak,yes
992,rainy,33,78,weak,no
993,overcast,36,61,weak,no
994,sunny,18,47,strong,no
995,rainy,22,91,weak,no
996,rainy,26,49,strong,no
997,overcast,18,36,weak,yes
998,sunny,32,90,strong,yes
999,rainy,24,39,strong,no
1000,sunny,29,71,strong,no
1001,sunny,28,75,weak,yes
1002,rainy,19,49,strong,no
1003,overcast,27,89,strong,no
1004,sunny,15,79,strong,no
1005,rainy,28,83,strong,no
1006,rainy,21,47,weak,yes
1007,overcast,30,34,strong,yes
1008,rainy,32,55,weak,no
1009,overcast,37,38,strong,yes
1010,overcast,34,38,weak,yes
1011,overcast,19,77,weak,yes
1012,sunny,25,53,strong,yes
1013,sunny,17,73,weak,yes
1014,rainy,22,77,weak,no
1015,sunny,37,78,strong,no
1016,rainy,37,74,weak,no
1017,rainy,24,70,strong,no
1018,overcast,30,69,weak,yes
1019,sunny,23,56,weak,yes
1020,sunny,25,31,weak,yes
1021,overcast,16,75,weak,yes
1022,sunny,27,40,weak,yes
1023,rainy,18,67,weak,no
1024,sunny,17,78,strong,no
1025,sunny,35,33,strong,yes
1026,sunny,17,63,weak,yes
1027,sunny,20,73,weak,yes
1028,overcast,35,88,weak,yes
1029,rainy,33,68,weak,yes
1030,sunny,25,35,weak,yes
1031,overcast,25,90,strong,no
1032,sunny,34,76,strong,no
1033,sunny,36,37,weak,yes
1034,sunny,16,36,weak,yes
1035,overcast,29,55,weak,yes
1036,sunny,25,71,weak,yes
1037,overcast,20,74,strong,no
1038,overcast,28,90,strong,no
1039,sunny,24,67,strong,no
1040,sunny,25,73,weak,yes
1041,sunny,33,73,weak,yes
1042,rainy,34,43,strong,no
1043,overcast,17,61,strong,no
1044,overcast,25,64,strong,yes
1045,sunny,37,62,weak,yes
1046,rainy,20,77,weak,no
1047,sunny,30,74,weak,yes
1048,sunny,36,36,strong,no
1049,overcast,15,60,weak,yes
1050,overcast,29,58,weak,yes
1051,rainy,25,53,strong,no
1052,sunny,22,72,weak,yes
1053,rainy,28,78,weak,no
1054,rainy,34,51,weak,yes
1055,sunny,26,40,weak,yes
1056,rainy,34,72,weak,no
1057,overcast,24,31,strong,yes
1058,rainy,36,47,strong,no
1059,sunny,32,55,strong,yes
1060,sunny,19,37,weak,yes
1061,sunny,26,54,strong,no
1062,overcast,34,36,weak,yes
1063,overcast,34,40,strong,no
1064,overcast,26,54,weak,yes
1065,rainy,32,86,weak,no
1066,rainy,36,85,strong,no
1067,rainy,32,94,strong,no
1068,sunny,23,87,strong,no
1069,sunny,32,92,weak,yes
1070,sunny,29,59,weak,no
1071,rainy,27,54,strong,no
1072,rainy,22,43,weak,yes
1073,overcast,31,43,strong,no
1074,sunny,30,66,weak,yes
1075,sunny,17,41,weak,yes
1076,rainy,29,48,strong,no
1077,sunny,15,36,weak,yes
1078,rainy,24,62,strong,yes
1079,rainy,26,75,weak,no
1080,sunny,31,69,weak,no
1081,rainy,18,91,strong,no
1082,sunny,32,88,weak,yes
1083,rainy,31,62,weak,no
1084,sunny,35,55,strong,no
1085,overcast,31,75,weak,yes
1086,rainy,28,70,weak,yes
1087,sunny,33,32,weak,yes
1088,rainy,35,86,weak,no
1089,overcast,35,78,strong,no
1090,rainy,16,85,weak,no
1091,sunny,34,37,strong,yes
1092,overcast,33,82,strong,yes
1093,sunny,23,51,strong,no
1094,rainy,24,32,weak,no
1095,overcast,33,60,weak,yes
1096,rainy,23,83,weak,no
1097,rainy,28,94,strong,no
1098,rainy,16,68,weak,no
1099,rainy,27,70,strong,no
1100,overcast,33,74,weak,yes
1101,overcast,37,80,strong,yes
1102,overcast,30,60,strong,no
1103,rainy,33,91,weak,no
1104,rainy,18,46,strong,no
1105,overcast,34,47,weak,yes
1106,overcast,19,74,weak,yes
1107,rainy,36,31,strong,no
1108,rainy,23,91,weak,no
1109,sunny,32,69,strong,no
1110,sunny,32,79,strong,no
1111,overcast,24,36,weak,yes
1112,sunny,16,73,weak,yes
1113,rainy,31,81,weak,no
1114,overcast,29,78,strong,yes
1115,rainy,24,81,weak,no
1116,rainy,27,56,weak,yes
1117,overcast,18,52,weak,yes
1118,rainy,17,56,weak,yes
1119,sunny,27,37,strong,yes
1120,sunny,24,36,strong,yes
1121,rainy,27,32,weak,no
1122,overcast,25,84,weak,yes
1123,overcast,21,31,weak,yes
1124,overcast,32,41,strong,yes
1125,rainy,30,57,weak,yes
1126,rainy,27,81,strong,no
1127,sunny,31,46,weak,yes
1128,sunny,26,79,weak,yes
1129,overcast,32,75,weak,yes
1130,rainy,35,74,strong,no
1131,sunny,21,39,strong,yes
1132,overcast,16,69,weak,no
1133,rainy,33,71,weak,no
1134,rainy,34,68,weak,no
1135,rainy,26,48,weak,yes
1136,overcast,21,76,weak,yes
1137,overcast,23,64,weak,no
1138,overcast,24,40,weak,yes
1139,rainy,28,48,strong,yes
1140,overcast,25,63,strong,no
1141,sunny,35,55,strong,no
1142,overcast,32,39,strong,yes
1143,overcast,32,37,strong,yes
1144,sunny,37,65,weak,no
1145,rainy,26,67,weak,no
1146,overcast,32,73,weak,yes
1147,sunny,34,44,weak,yes
1148,sunny,29,76,weak,yes
1149,overcast,28,55,weak,yes
1150,sunny,28,81,strong,no
1151,sunny,34,63,weak,yes
1152,overcast,23,65,strong,yes
1153,rainy,27,40,weak,no
1154,sunny,23,67,strong,no
1155,overcast,29,87,weak,yes
1156,overcast,28,67,weak,yes
1157,rainy,25,82,strong,no
1158,sunny,25,36,weak,yes
1159,overcast,21,52,weak,yes
1160,sunny,29,77,weak,no
1161,sunny,20,75,weak,yes
1162,sunny,16,80,strong,no
1163,overcast,20,57,weak,yes
1164,overcast,17,33,weak,yes
1165,sunny,30,83,weak,no
1166,sunny,30,81,strong,no
1167,rainy,29,89,strong,no
1168,overcast,15,41,weak,yes
1169,sunny,35,70,strong,yes
1170,overcast,16,43,weak,yes
1171,overcast,27,72,weak,yes
1172,sunny,37,53,weak,yes
1173,sunny,29,40,weak,yes
1174,rainy,34,91,weak,no
1175,rainy,27,74,weak,no
1176,rainy,33,62,weak,yes
1177,sunny,31,41,strong,yes
1178,rainy,16,63,strong,no
1179,sunny,20,50,weak,yes
1180,sunny,35,63,weak,yes
1181,rainy,35,43,weak,no
1182,overcast,27,60,weak,yes
1183,rainy,26,45,weak,yes
1184,overcast,23,52,strong,no
1185,overcast,35,49,weak,yes
1186,sunny,24,91,strong,no
1187,overcast,16,52,weak,yes
1188,rainy,27,84,strong,no
1189,sunny,26,62,weak,yes
1190,sunny,20,68,strong,yes
1191,sunny,30,34,strong,no
1192,overcast,35,71,weak,yes
1193,overcast,24,61,weak,yes
1194,sunny,25,34,weak,yes
1195,sunny,28,85,weak,yes
1196,rainy,30,44,weak,no
1197,sunny,26,60,strong,no
1198,rainy,26,58,strong,no
1199,overcast,15,89,strong,no
1200,sunny,28,66,strong,no
1201,sunny,19,84,weak,yes
1202,overcast,29,59,weak,yes
1203,overcast,26,81,strong,yes
1204,overcast,35,85,weak,no
1205,sunny,20,87,strong,no
1206,overcast,34,56,weak,yes
1207,overcast,19,79,strong,no
1208,sunny,27,43,weak,yes
1209,sunny,19,33,weak,yes
1210,rainy,25,39,weak,no
1211,rainy,32,42,weak,no
1212,overcast,28,66,strong,yes
1213,sunny,34,44,weak,yes
1214,overcast,31,93,weak,yes
1215,rainy,36,32,strong,no
1216,rainy,19,86,strong,no
1217,sunny,18,41,strong,yes
1218,sunny,35,45,strong,no
1219,overcast,17,58,weak,no
1220,sunny,32,90,weak,yes
1221,sunny,27,76,weak,no
1222,sunny,25,74,weak,yes
1223,sunny,30,44,weak,yes
1224,sunny,30,56,weak,yes
1225,rainy,22,78,weak,yes
1226,rainy,34,72,strong,no
1227,sunny,18,42,weak,yes
1228,rainy,28,79,strong,no
1229,sunny,16,69,weak,yes
1230,overcast,15,66,strong,no
1231,overcast,28,54,weak,yes
1232,sunny,37,86,weak,no
1233,sunny,33,77,strong,no
1234,sunny,30,77,weak,no
1235,sunny,36,64,strong,no
1236,overcast,30,47,strong,no
1237,rainy,36,54,strong,no
1238,overcast,22,93,strong,no
1239,rainy,21,92,strong,no
1240,sunny,35,89,weak,no
1241,rainy,23,75,strong,no
1242,rainy,35,80,weak,no
1243,overcast,32,89,weak,yes
1244,overcast,25,90,weak,yes
1245,sunny,19,50,strong,yes
1246,rainy,24,51,strong,no
1247,sunny,31,35,strong,yes
1248,sunny,25,40,weak,yes
1249,rainy,34,86,strong,no
1250,overcast,31,83,strong,no
1251,overcast,32,73,strong,yes
1252,sunny,25,36,strong,yes
1253,overcast,26,48,weak,yes
1254,rainy,31,48,weak,no
1255,overcast,20,60,strong,yes
1256,rainy,31,47,weak,no
1257,overcast,20,40,strong,yes
1258,sunny,19,69,weak,yes
1259,rainy,32,78,weak,yes
1260,sunny,19,37,weak,yes
1261,rainy,34,60,strong,no
1262,overcast,27,60,weak,yes
1263,rainy,22,55,strong,yes
1264,overcast,34,70,strong,yes
1265,rainy,25,59,strong,no
1266,rainy,20,39,weak,no
1267,overcast,35,52,weak,yes
1268,sunny,21,47,strong,yes
1269,rainy,22,38,strong,no
1270,rainy,26,51,weak,no
1271,overcast,15,71,weak,yes
1272,sunny,24,88,weak,no
1273,rainy,20,51,weak,yes
1274,sunny,22,81,strong,no
1275,overcast,21,38,weak,yes
1276,overcast,22,82,strong,no
1277,rainy,36,81,strong,no
1278,sunny,17,49,strong,no
1279,rainy,26,30,weak,yes
1280,overcast,33,52,weak,yes
1281,rainy,24,43,strong,no
1282,sunny,18,91,strong,no
1283,sunny,32,51,weak,yes
1284,sunny,35,48,weak,no
1285,sunny,16,36,weak,yes
1286,sunny,17,61,strong,yes
1287,overcast,33,30,strong,yes
1288,sunny,32,76,strong,no
1289,rainy,20,91,weak,no
1290,sunny,16,54,weak,yes
1291,sunny,22,92,strong,no
1292,overcast,22,49,weak,yes
1293,sunny,15,76,strong,no
1294,sunny,22,88,strong,no
1295,overcast,33,75,weak,yes
1296,overcast,25,70,weak,no
1297,sunny,31,57,strong,yes
1298,rainy,21,63,weak,yes
1299,sunny,22,77,weak,yes
1300,sunny,26,82,strong,yes
1301,rainy,33,56,weak,no
1302,overcast,33,31,strong,no
1303,overcast,35,45,strong,yes
1304,sunny,16,30,weak,yes
1305,sunny,34,88,strong,no
1306,sunny,30,34,weak,yes
1307,rainy,28,87,strong,no
1308,sunny,21,60,weak,yes
1309,overcast,34,43,weak,yes
1310,rainy,32,49,weak,no
1311,overcast,37,41,weak,yes
1312,overcast,37,57,weak,no
1313,sunny,30,51,weak,no
1314,rainy,36,44,weak,no
1315,overcast,15,52,weak,yes
1316,rainy,33,42,weak,no
1317,sunny,25,37,weak,yes
1318,sunny,35,60,weak,yes
1319,sunny,23,37,strong,yes
1320,sunny,36,59,strong,no
1321,overcast,27,68,strong,no
1322,overcast,32,39,strong,yes
1323,rainy,22,66,weak,no
1324,rainy,29,81,weak,no
1325,rainy,20,43,weak,yes
1326,rainy,30,71,weak,no
1327,sunny,25,40,strong,no
1328,rainy,37,37,strong,yes
1329,overcast,18,70,strong,no
1330,sunny,32,71,strong,no
1331,rainy,23,36,strong,no
1332,overcast,19,79,strong,no
1333,overcast,24,31,weak,yes
1334,sunny,22,82,weak,no
1335,sunny,16,81,weak,yes
1336,rainy,23,54,strong,no
1337,rainy,28,74,strong,no
1338,rainy,32,49,weak,yes
1339,overcast,30,47,weak,yes
1340,rainy,35,49,weak,no
1341,overcast,19,77,strong,yes
1342,rainy,33,77,strong,no
1343,sunny,22,47,weak,yes
1344,sunny,22,72,weak,yes
1345,overcast,25,81,weak,yes
1346,overcast,36,54,weak,yes
1347,rainy,25,49,strong,yes
1348,rainy,31,64,weak,yes
1349,rainy,37,34,strong,no
1350,overcast,34,68,weak,yes
1351,overcast,36,50,strong,no
1352,sunny,29,82,weak,yes
1353,rainy,27,34,weak,yes
1354,rainy,15,63,weak,no
1355,rainy,19,40,weak,yes
1356,sunny,37,88,strong,no
1357,overcast,23,65,weak,no
1358,overcast,19,94,weak,yes
1359,rainy,15,78,strong,no
1360,sunny,35,67,weak,yes
1361,sunny,20,83,strong,no
1362,rainy,22,71,weak,no
1363,rainy,33,54,weak,yes
1364,rainy,35,35,strong,no
1365,rainy,36,85,weak,no
1366,rainy,37,59,strong,no
1367,rainy,26,74,weak,yes
1368,overcast,17,71,weak,yes
1369,rainy,37,58,weak,yes
1370,overcast,21,59,strong,yes
1371,sunny,27,61,strong,no
1372,sunny,30,88,strong,no
1373,overcast,19,94,strong,no
1374,rainy,27,92,weak,no
1375,sunny,20,90,strong,yes
1376,sunny,20,47,weak,yes
1377,sunny,36,66,strong,no
1378,rainy,26,78,strong,no
1379,overcast,33,67,strong,yes
1380,sunny,21,58,strong,no
1381,rainy,28,88,strong,no
1382,overcast,32,31,strong,no
1383,sunny,21,65,weak,yes
1384,overcast,32,66,strong,no
1385,rainy,17,53,weak,no
1386,overcast,35,79,strong,no
1387,sunny,37,76,weak,no
1388,sunny,28,80,strong,yes
1389,rainy,22,65,weak,no
1390,overcast,22,81,strong,yes
1391,overcast,29,72,strong,yes
1392,rainy,20,49,weak,yes
1393,sunny,34,89,strong,no
1394,overcast,20,90,weak,no
1395,sunny,32,69,weak,yes
1396,overcast,17,32,weak,yes
1397,sunny,22,40,weak,yes
1398,overcast,15,55,weak,yes
1399,overcast,36,61,weak,yes
1400,overcast,18,44,strong,no
1401,overcast,32,36,strong,yes
1402,overcast,21,69,weak,yes
1403,overcast,17,53,weak,yes
1404,sunny,26,39,strong,no
1405,sunny,20,89,strong,no
1406,sunny,32,74,strong,no
1407,sunny,27,92,weak,no
1408,sunny,35,38,weak,yes
1409,sunny,24,62,strong,no
1410,rainy,33,57,weak,yes
1411,overcast,26,58,weak,yes
1412,rainy,22,79,weak,yes
1413,rainy,35,57,weak,no
1414,rainy,21,36,weak,yes
1415,sunny,21,84,strong,yes
1416,rainy,35,74,weak,yes
1417,sunny,36,79,weak,yes
1418,rainy,30,37,strong,no
1419,overcast,26,91,strong,yes
1420,sunny,32,92,strong,no
1421,rainy,25,77,strong,no
1422,rainy,34,79,strong,no
1423,rainy,27,83,weak,yes
1424,sunny,33,83,weak,no
1425,overcast,22,94,strong,no
1426,sunny,22,58,weak,yes
1427,overcast,31,65,strong,no
1428,sunny,37,80,strong,no
1429,rainy,25,49,weak,no
1430,sunny,28,69,weak,no
1431,overcast,37,32,strong,no
1432,sunny,37,77,weak,yes
1433,overcast,19,68,weak,yes
1434,sunny,36,46,strong,yes
1435,sunny,31,91,strong,no
1436,overcast,28,55,strong,yes
1437,rainy,30,48,weak,no
1438,sunny,21,94,strong,no
1439,overcast,30,84,weak,yes
1440,overcast,23,74,strong,yes
1441,overcast,18,43,weak,yes
1442,overcast,31,55,strong,no
1443,rainy,17,39,weak,no
1444,sunny,23,84,weak,no
1445,overcast,24,39,strong,no
1446,sunny,25,30,weak,yes
1447,sunny,23,34,weak,yes
1448,overcast,18,41,weak,yes
1449,sunny,35,65,weak,yes
1450,rainy,18,58,strong,no
1451,overcast,19,38,strong,yes
1452,sunny,34,38,weak,yes
1453,overcast,22,84,strong,no
1454,rainy,19,50,weak,yes
1455,sunny,35,66,weak,yes
1456,rainy,20,72,weak,no
1457,rainy,25,62,weak,no
1458,overcast,29,85,weak,yes
1459,rainy,34,42,weak,yes
1460,rainy,17,30,strong,no
1461,rainy,27,54,strong,no
1462,sunny,18,84,weak,yes
1463,rainy,18,47,weak,no
1464,overcast,28,81,weak,yes
1465,overcast,18,59,weak,yes
1466,rainy,36,47,weak,yes
1467,overcast,32,78,weak,yes
1468,overcast,35,76,weak,no
1469,overcast,36,92,weak,yes
1470,rainy,25,59,weak,yes
1471,sunny,19,81,weak,yes
1472,rainy,33,66,strong,no
1473,rainy,34,44,weak,yes
1474,sunny,31,37,weak,yes
1475,rainy,16,54,weak,no
1476,overcast,27,77,weak,yes
1477,overcast,16,51,strong,no
1478,sunny,20,41,weak,yes
1479,overcast,15,52,weak,yes
1480,rainy,31,44,weak,no
1481,overcast,35,92,strong,no
1482,overcast,27,53,weak,yes
1483,sunny,29,50,strong,no
1484,overcast,20,56,strong,no
1485,overcast,29,66,weak,yes
1486,sunny,25,35,strong,no
1487,overcast,15,35,weak,yes
1488,overcast,32,87,weak,yes
1489,rainy,24,92,strong,no
1490,sunny,33,80,weak,no
1491,overcast,34,50,strong,no
1492,rainy,26,75,strong,no
1493,sunny,18,71,weak,yes
1494,sunny,33,48,strong,no
1495,rainy,19,60,strong,no
1496,rainy,27,58,weak,no
1497,sunny,34,92,weak,yes
1498,sunny,16,64,strong,no
1499,rainy,27,73,weak,yes
1500,sunny,32,41,strong,yes
